## This file was extracted from ExpressionPlot by grabbing the TCGA::COAD
## project and extractings the gene information from a SummarizedExperiment
## version of the data.
##
## library(ExpressionPlot)
## p <- ep.find.project('PRJ0004323')
## se <- ep.SummarizedExperiment(p, attach.annot=TRUE)
## gdata <- transform(as.data.frame(mcols(se)), entrez.id=rownames(se))
## out <- gdata[, c('symbol', 'entrez.id', 'size')]
"symbol","entrez.id","size"
"MIR875","100126309",76
"MIR876","100126310",81
"MIR147B","100126311",80
"MIR744","100126313",98
"MIR877","100126314",86
"MIR665","100126315",72
"MIR873","100126316",77
"MIR374B","100126317",72
"MIR301B","100126318",78
"MIR216B","100126319",82
"MIR920","100126320",75
"MIR922","100126321",81
"MIR924","100126323",53
"MIR934","100126324",83
"MIR935","100126325",91
"MIR936","100126326",98
"MIR938","100126327",83
"MIR940","100126328",94
"MIR941-1","100126329",117
"MIR941-4","100126330",117
"MIR942","100126331",86
"MIR943","100126332",94
"MIR708","100126333",88
"MIR885","100126334",74
"MIR543","100126335",78
"MIR208B","100126336",77
"MIR509-3","100126337",75
"MIR937","100126338",86
"MIR941-2","100126339",117
"MIR944","100126340",88
"MIR891A","100126341",79
"MIR892A","100126342",75
"MIR874","100126343",78
"MIR889","100126345",79
"MIR190B","100126346",79
"MIR887","100126347",79
"MIR760","100126348",80
"MIR921","100126349",56
"MIR933","100126350",77
"MIR939","100126351",82
"MIR941-3","100126352",117
"MIR297","100126354",66
"MIR365A","100126355",87
"MIR365B","100126356",111
"LOC100126447","100126447",652
"LOC100126582","100126582",1718
"LINC00322","100126693",3781
"SNAR-G1","100126780",128
"SNAR-F","100126781",123
"LOC100126784","100126784",3667
"EGOT","100126791",1464
"GHRLOS","100126793",1708
"SNAR-A1","100126798",122
"SNAR-A2","100126799",122
"SNAR-A12","100126800",122
"KIAA1024L","100127206",573
"LOC100127885","100127885",724
"LOC100127888","100127888",1423
"C10orf131","100127889",1176
"LOC100127891","100127891",537
"LOC100127909","100127909",1515
"LOC100127910","100127910",2247
"LOC100127946","100127946",759
"HECW1-IT1","100127950",1839
"LOC100127961","100127961",712
"LOC100127974","100127974",2196
"LOC100127983","100127983",1053
"LOC100128002","100128002",2697
"LOC100128023","100128023",1146
"WWTR1-AS1","100128025",1700
"LOC100128028","100128028",1957
"LOC100128054","100128054",1408
"SMARCA5-AS1","100128055",945
"LOC100128059","100128059",2185
"","100128064",1023
"LOC100128071","100128071",699
"LOC100128075","100128075",429
"LOC100128076","100128076",2012
"LOC100128077","100128077",603
"JAZF1-AS1","100128081",1194
"LOC100128098","100128098",557
"LOC100128105","100128105",494
"LOC100128108","100128108",638
"HGC6.3","100128124",1016
"LOC100128126","100128126",2068
"LOC100128130","100128130",2044
"LOC100128131","100128131",3103
"LOC100128139","100128139",568
"","100128155",2874
"LOC100128164","100128164",7012
"LOC100128176","100128176",2083
"LOC100128191","100128191",3161
"LOC100128239","100128239",2299
"LOC100128242","100128242",1094
"LOC100128252","100128252",1783
"LOC100128253","100128253",2454
"LOC100128262","100128262",2096
"LOC100128264","100128264",2703
"LOC100128276","100128276",1063
"","100128278",1626
"DNM1P35","100128285",7300
"LOC100128288","100128288",2129
"LOC100128292","100128292",3014
"","100128300",3447
"LOC100128304","100128304",1507
"LOC100128310","100128310",2000
"LOC100128326","100128326",1190
"BET3L","100128327",1113
"LOC100128338","100128338",2737
"LOC100128340","100128340",879
"","100128342",1699
"LOC100128343","100128343",1970
"LOC100128356","100128356",324
"LOC100128361","100128361",2484
"LOC100128364","100128364",2209
"LOC100128366","100128366",641
"LOC100128371","100128371",498
"LOC100128374","100128374",2967
"C3orf74","100128378",3019
"LINC00256B","100128385",5806
"LOC100128398","100128398",1897
"AZFP","100128406",1108
"LOC100128416","100128416",1051
"LOC100128420","100128420",689
"LOC100128482","100128482",2137
"C20orf78","100128496",648
"LOC100128505","100128505",1756
"LOC100128508","100128508",1953
"LOC100128511","100128511",632
"LOC100128531","100128531",973
"LOC100128542","100128542",486
"CTAGE4","100128553",2626
"LOC100128554","100128554",2629
"LOC100128563","100128563",1628
"LOC100128568","100128568",639
"C19orf71","100128569",671
"LOC100128573","100128573",525
"ARMCX3-AS1","100128574",710
"LOC100128590","100128590",1002
"LOC100128593","100128593",2702
"LOC100128640","100128640",2517
"LOC100128644","100128644",608
"LOC100128653","100128653",2427
"LOC100128657","100128657",596
"LOC100128675","100128675",4617
"LOC100128682","100128682",3312
"LOC100128714","100128714",1967
"","100128726",5647
"OST4","100128731",487
"LOC100128737","100128737",1427
"LOC100128750","100128750",909
"LOC100128751","100128751",2251
"LOC100128770","100128770",3061
"LINC00476","100128782",9171
"LOC100128787","100128787",824
"LOC100128788","100128788",1645
"LOC100128811","100128811",2433
"LOC100128816","100128816",1695
"LOC100128818","100128818",1378
"LOC100128822","100128822",1422
"LOC100128840","100128840",1717
"LOC100128857","100128857",1448
"LOC100128881","100128881",1753
"FAM66B","100128890",1432
"LOC100128893","100128893",1788
"LOC100128905","100128905",1879
"LOC100128908","100128908",2474
"LOC100128909","100128909",677
"ZBTB42","100128927",3637
"LOC100128946","100128946",4015
"MAPT-AS1","100128977",840
"LOC100128979","100128979",3567
"LOC100128988","100128988",997
"LOC100128993","100128993",1013
"LOC100128997","100128997",2374
"C20orf181","100128998",738
"LOC100129027","100129027",3586
"LOC100129033","100129033",921
"LOC100129034","100129034",5714
"LOC100129046","100129046",1562
"LOC100129055","100129055",2775
"LOC100129060","100129060",3204
"UNQ6494","100129066",2194
"KTN1-AS1","100129075",1512
"LOC100129083","100129083",729
"BUTR1","100129094",744
"LOC100129098","100129098",2495
"LOC100129104","100129104",1541
"LOC100129119","100129119",506
"KHDC1L","100129128",635
"LOC100129129","100129129",1099
"LOC100129138","100129138",1224
"LOC100129148","100129148",461
"LOC100129175","100129175",1993
"LOC100129195","100129195",1536
"LOC100129196","100129196",2050
"LOC100129203","100129203",1348
"LOC100129213","100129213",1966
"LOC100129215","100129215",2611
"LOC100129216","100129216",213
"LOC100129223","100129223",5979
"LOC100129233","100129233",1866
"CXorf51A","100129239",436
"LOC100129250","100129250",1048
"LOC100129268","100129268",1114
"LOC100129269","100129269",1542
"C1orf68","100129271",908
"LOC100129291","100129291",1715
"LOC100129297","100129297",579
"LOC100129307","100129307",1026
"LOC100129316","100129316",5249
"LOC100129345","100129345",1670
"NRADDP","100129354",1012
"LOC100129361","100129361",1944
"LOC100129387","100129387",4139
"FAM106CP","100129396",1759
"MSTO2P","100129405",2524
"LOC100129407","100129407",465
"LOC100129413","100129413",865
"RPL19P12","100129424",1134
"LOC100129427","100129427",1776
"LOC100129434","100129434",3640
"DPY19L1P1","100129460",1903
"LOC100129461","100129461",471
"LOC100129463","100129463",757
"CXorf28","100129464",674
"LOC100129473","100129473",588
"LOC100129476","100129476",492
"LOC100129480","100129480",1084
"ZNF37BP","100129482",8675
"LOC100129484","100129484",3364
"LOC100129502","100129502",883
"PP13","100129503",353
"LOC100129515","100129515",632
"LOC100129516","100129516",1725
"LOC100129518","100129518",1718
"LOC100129520","100129520",2982
"LOC100129534","100129534",2248
"ZNF730","100129543",3411
"LOC100129550","100129550",5904
"FAM47E","100129583",2094
"LOC100129596","100129596",453
"LOC100129597","100129597",1023
"LOC100129617","100129617",1923
"LOC100129620","100129620",2544
"LOC100129636","100129636",1062
"TCF24","100129654",2450
"LOC100129662","100129662",837
"LOC100129697","100129697",1542
"NAG20","100129703",1615
"LOC100129716","100129716",2502
"LOC100129722","100129722",1701
"LOC100129726","100129726",1645
"LOC100129744","100129744",654
"LOC100129781","100129781",815
"CCDC152","100129792",3491
"LOC100129794","100129794",1769
"MRVI1-AS1","100129827",900
"LOC100129831","100129831",959
"ZNF737","100129842",8391
"LOC100129845","100129845",2538
"LOC100129858","100129858",2017
"LOC100129860","100129860",2404
"SCXA","100129885",606
"LOC100129917","100129917",1700
"LOC100129924","100129924",983
"LOC100129931","100129931",4300
"LOC100129935","100129935",1831
"LOC100129940","100129940",4675
"LOC100129960","100129960",1263
"LOC100129961","100129961",1405
"LOC100129999","100129999",1843
"HDAC6","10013",4099
"LOC100130000","100130000",1731
"LOC100130009","100130009",348
"LOC100130015","100130015",2136
"FTLP10","100130017",1501
"LOC100130027","100130027",4957
"LOC100130071","100130071",778
"HBCBP","100130083",591
"HSFX2","100130086",1966
"LOC100130093","100130093",2400
"LOC100130097","100130097",1830
"LOC100130100","100130100",576
"LOC100130111","100130111",2531
"MAPT-IT1","100130148",3016
"LOC100130155","100130155",1262
"LOC100130156","100130156",443
"LOC100130157","100130157",3150
"LOC100130169","100130169",423
"LOC100130171","100130171",921
"LOC100130172","100130172",1600
"LOC100130197","100130197",584
"LOC100130219","100130219",2331
"LOC100130231","100130231",5457
"LOC100130238","100130238",3877
"PP2672","100130249",2438
"","100130255",2033
"LOC100130264","100130264",1789
"CCDC166","100130274",1320
"LOC100130275","100130275",1304
"LOC100130285","100130285",697
"LOC100130298","100130298",513
"LOC100130301","100130301",658
"FAM48B1","100130302",2664
"C17orf107","100130311",3082
"LOC100130331","100130331",3127
"SCGB2B3P","100130342",1455
"LOC100130348","100130348",441
"LOC100130357","100130357",2305
"CXorf49","100130361",1851
"LOC100130370","100130370",818
"LINC00552","100130386",2579
"LOC100130417","100130417",496
"CECR7","100130418",2726
"LOC100130428","100130428",830
"LOC100130445","100130445",309
"PP14571","100130449",2017
"LOC100130451","100130451",1726
"LOC100130452","100130452",507
"LOC100130458","100130458",2804
"LOC100130476","100130476",1965
"LOC100130480","100130480",603
"LOC100130502","100130502",1391
"LOC100130503","100130503",3035
"LOC100130507","100130507",3849
"TMEM221","100130519",1930
"LOC100130522","100130522",3737
"LOC100130539","100130539",1192
"LOC100130547","100130547",2907
"LOC100130548","100130548",2422
"LOC100130557","100130557",3182
"LOC100130579","100130579",847
"LOC100130581","100130581",4399
"LOC100130589","100130589",1356
"CXorf64","100130613",1228
"LOC100130673","100130673",1598
"LOC100130691","100130691",5206
"LOC100130698","100130698",4413
"LOC100130700","100130700",601
"LOC100130705","100130705",3803
"CECR5-AS1","100130717",626
"LRRC70","100130733",2249
"LRRC69","100130742",1323
"LOC100130744","100130744",2599
"LOC100130746","100130746",1594
"EFCAB10","100130771",764
"LOC100130776","100130776",1531
"LOC100130800","100130800",804
"LOC100130811","100130811",363
"LOC100130815","100130815",1678
"SGK110","100130827",1269
"LOC100130830","100130830",939
"LOC100130849","100130849",564
"LOC100130855","100130855",1722
"LOC100130856","100130856",2177
"LOC100130872","100130872",4981
"LOC100130876","100130876",2210
"LOC100130880","100130880",577
"LOC100130887","100130887",951
"PSORS1C3","100130889",593
"LOC100130890","100130890",1928
"LOC100130894","100130894",2227
"LOC100130899","100130899",4246
"LOC100130921","100130921",582
"LOC100130932","100130932",934
"C17orf110","100130933",828
"ZNF663","100130934",1151
"LOC100130938","100130938",653
"LOC100130950","100130950",1728
"LOC100130954","100130954",2638
"SYCE1L","100130958",877
"LOC100130964","100130964",520
"C6orf99","100130967",638
"LOC100130987","100130987",850
"C7orf72","100130988",1404
"LOC100130992","100130992",6477
"LOC100131035","100131035",931
"LOC100131047","100131047",2124
"LOC100131060","100131060",1123
"LOC100131067","100131067",2915
"LOC100131089","100131089",3320
"","100131091",1240
"LOC100131094","100131094",3071
"LOC100131096","100131096",3189
"LOC100131107","100131107",1026
"ZBTB20-AS1","100131117",1719
"LOC100131131","100131131",1546
"LOC100131132","100131132",1916
"BSPH1","100131137",654
"LOC100131138","100131138",361
"LOC100131174","100131174",1918
"LOC100131176","100131176",789
"TSTD1","100131187",673
"LOC100131193","100131193",2386
"RPL21P28","100131205",566
"LOC100131208","100131208",2959
"TMEM194B","100131211",3637
"ZNF503-AS2","100131213",2764
"LOC100131234","100131234",604
"ANKRD63","100131244",1143
"LOC100131248","100131248",399
"LOC100131257","100131257",21017
"LOC100131262","100131262",1311
"NSAP11","100131275",2054
"LOC100131283","100131283",376
"LOC100131289","100131289",828
"LOC100131316","100131316",737
"LOC100131320","100131320",2460
"LOC100131347","100131347",2305
"LOC100131354","100131354",2424
"LOC100131366","100131366",1558
"LOC100131372","100131372",4641
"LOC100131373","100131373",2714
"C11orf91","100131378",903
"LOC100131381","100131381",470
"SP9","100131390",1455
"LOC100131392","100131392",1474
"LOC100131395","100131395",3470
"LOC100131434","100131434",2344
"CD300LD","100131439",644
"DBIL5P","100131454",2677
"LOC100131496","100131496",2253
"LOC100131510","100131510",712
"LOC100131530","100131530",2172
"ZNF705E","100131539",903
"LOC100131541","100131541",1133
"LOC100131551","100131551",3014
"FKSG29","100131561",608
"LOC100131564","100131564",4033
"LOC100131607","100131607",759
"LOC100131608","100131608",1131
"LOC100131626","100131626",572
"LOC100131635","100131635",338
"LOC100131655","100131655",1295
"LOC100131679","100131679",1996
"LOC100131691","100131691",2606
"LOC100131726","100131726",1158
"LOC100131733","100131733",978
"LOC100131735","100131735",1176
"","100131744",1935
"ARMCX4","100131755",15189
"","100131774",489
"C19orf79","100131801",429
"LINC00271","100131814",1636
"UBE2DNL","100131816",740
"LOC100131825","100131825",3294
"LOC100131826","100131826",1659
"ZNF717","100131827",3068
"LOC100131871","100131871",890
"FAM196B","100131897",3548
"KRTAP25-1","100131902",370
"LOC100131910","100131910",2263
"ZNF705G","100131980",925
"FAM27E3","100131997",1877
"RRN3P3","100131998",2492
"LOC100132004","100132004",327
"LOC100132046","100132046",647
"LOC100132050","100132050",489
"FAM157C","100132055",1164
"LOC100132057","100132057",547
"LOC100132062","100132062",4370
"FOXO6","100132074",2187
"LOC100132077","100132077",2162
"LOC100132078","100132078",2587
"","100132080",414
"HERC2P7","100132101",1764
"FAM66E","100132103",1434
"LOC100132111","100132111",761
"LOC100132146","100132146",1826
"LOC100132154","100132154",327
"LOC100132163","100132163",1296
"LOC100132174","100132174",2281
"FP6628","100132183",3099
"LOC100132202","100132202",1699
"LOC100132215","100132215",2205
"LINC00543","100132234",1832
"LOC100132240","100132240",792
"LOC100132247","100132247",3817
"LOC100132249","100132249",1949
"LOC100132272","100132272",2199
"LOC100132273","100132273",1773
"KIR2DS2","100132285",1630
"LOC100132287","100132287",4370
"TEKT4P2","100132288",2910
"LOC100132304","100132304",421
"LOC100132314","100132314",494
"LOC100132330","100132330",2097
"LOC100132336","100132336",592
"LOC100132339","100132339",1129
"KIAA0664L3","100132341",1789
"LOC100132352","100132352",1287
"LOC100132354","100132354",2282
"LOC100132356","100132356",1785
"KRTAP4-9","100132386",1100
"LOC100132396","100132396",1207
"GAGE12D","100132399",585
"FAM157B","100132403",1278
"NBPF10","100132406",10697
"FCGR1C","100132417",1338
"LOC100132439","100132439",342
"CLDN24","100132463",663
"FAM99B","100132464",1066
"LOC100132472","100132472",420
"KRTAP4-7","100132476",938
"LOC100132481","100132481",1299
"LOC100132501","100132501",4357
"FAM197Y3","100132506",459
"LOC100132526","100132526",3377
"LOC100132529","100132529",875
"GOLGA8F","100132565",4511
"LOC100132581","100132581",723
"PGAM1P5","100132594",2148
"XGPY2","100132596",363
"ZRANB2-AS1","100132618",1678
"BSN-AS2","100132677",2603
"LOC100132705","100132705",588
"LOC100132707","100132707",1775
"CYP4F30P","100132708",2250
"LOC100132724","100132724",2445
"LOC100132731","100132731",1978
"LOC100132735","100132735",1294
"LOC100132741","100132741",1064
"LOC100132774","100132774",1574
"LOC100132781","100132781",2138
"LOC100132815","100132815",2367
"LOC100132831","100132831",1980
"LOC100132832","100132832",2332
"LOC100132858","100132858",1155
"LOC100132859","100132859",393
"LOC100132891","100132891",4915
"LOC100132900","100132900",468
"LOC100132909","100132909",1168
"DPH3P1","100132911",1068
"LOC100132913","100132913",851
"FAM159B","100132916",967
"FAM66D","100132923",1071
"FAM25B","100132929",335
"FAM197Y9","100132932",438
"LOC100132941","100132941",894
"FAM27C","100132948",703
"CXorf68","100132963",1016
"LINC00204A","100132967",713
"GOLGA8DP","100132979",5339
"LOC100132987","100132987",2815
"CXorf49B","100132994",1851
"LOC100132999","100132999",892
"FAM95B1","100133036",1543
"LOC100133039","100133039",3064
"KIR3DL3","100133046",1238
"LOC100133047","100133047",358
"LOC100133050","100133050",701
"CXorf51B","100133053",438
"LOC100133077","100133077",3222
"LOC100133091","100133091",2686
"FAM25G","100133093",335
"LOC100133106","100133106",962
"FAM27B","100133121",703
"LOC100133123","100133123",580
"LOC100133124","100133124",243
"LOC100133140","100133140",863
"UBE2Q2P3","100133144",1214
"LOC100133161","100133161",4614
"SPANXB2","100133171",469
"FAM66A","100133172",775
"LOC100133190","100133190",3822
"C9orf147","100133204",1080
"LINC00240","100133205",977
"LOC100133207","100133207",2735
"GOLGA6L3","100133220",1466
"SBF1P1","100133234",6125
"LOC100133251","100133251",891
"LOC100133267","100133267",240
"LOC100133286","100133286",1221
"LOC100133299","100133299",1808
"LOC100133301","100133301",510
"LOC100133308","100133308",1844
"HOXA-AS3","100133311",4168
"LOC100133315","100133315",1245
"LOC100133331","100133331",4273
"LOC100133445","100133445",963
"LOC100133461","100133461",1033
"MRPL23-AS1","100133545",1904
"LOC100133612","100133612",1952
"LOC100133669","100133669",702
"LOC100133862","100133862",822
"LOC100133920","100133920",2029
"CD24","100133941",2193
"LOC100133957","100133957",1545
"LOC100133985","100133985",661
"LOC100133991","100133991",1328
"LOC100133995","100133995",647
"LOC100134015","100134015",1794
"LOC100134091","100134091",378
"LOC100134167","100134167",1211
"LOC100134173","100134173",1187
"LOC100134216","100134216",714
"LOC100134229","100134229",2380
"LOC100134240","100134240",744
"LOC100134256","100134256",695
"LOC100134259","100134259",1210
"LOC100134267","100134267",567
"LOC100134285","100134285",1027
"LOC100134317","100134317",597
"LOC100134361","100134361",1241
"LOC100134365","100134365",675
"LOC100134368","100134368",1571
"LOC100134391","100134391",1140
"LOC100134397","100134397",570
"LOC100134409","100134409",897
"KCNJ18","100134444",2198
"LOC100134663","100134663",1386
"LOC100134713","100134713",1648
"LOC100134822","100134822",854
"LOC100134868","100134868",1555
"UBE2Q2P2","100134869",1595
"TEN1","100134934",997
"UPK3BL","100134938",1342
"JMJD7","100137047",1422
"PLA2G4B","100137049",2735
"HDAC5","10014",5327
"C17orf99","100141515",1090
"LOC100144595","100144595",2362
"LINC00029","100144596",1749
"LOC100144597","100144597",1234
"LOC100144602","100144602",1177
"LOC100144603","100144603",628
"LOC100144604","100144604",1762
"KLLN","100144748",4277
"RNU7-1","100147744",63
"LOC100147773","100147773",2581
"PDCD6IP","10015",6842
"KRTAP20-4","100151643",224
"RNU4ATAC","100151683",130
"RNU6ATAC","100151684",125
"SCARNA9L","100158262",348
"PDCD6","10016",1135
"PRINS","100169750",2195
"RN5S1","100169751",121
"LOC100169752","100169752",749
"RN5S2","100169753",121
"RN5S3","100169754",121
"RN5S4","100169755",121
"RN5S5","100169756",121
"RN5S6","100169757",121
"RN5S7","100169758",121
"RN5S8","100169759",121
"RN5S9","100169760",121
"RN5S10","100169761",121
"RN5S11","100169762",121
"RN5S12","100169763",121
"RN5S13","100169764",121
"RN5S14","100169765",121
"RN5S15","100169766",121
"RN5S16","100169767",121
"RN5S17","100169768",121
"PATE3","100169851",1336
"PEG3-AS1","100169890",1314
"SNAR-A3","100169951",121
"SNAR-A5","100169952",121
"SNAR-A7","100169953",121
"SNAR-A11","100169954",121
"SNAR-A9","100169955",121
"SNAR-A4","100169956",121
"SNAR-A6","100169957",121
"SNAR-A8","100169958",121
"SNAR-A13","100169959",122
"DBIL5P2","100169989",1692
"BCL2L10","10017",887
"SNAR-A10","100170216",121
"SNAR-B2","100170217",120
"SNAR-C2","100170218",120
"SNAR-C4","100170219",120
"SNAR-E","100170220",120
"SNAR-H","100170221",120
"SNAR-I","100170222",121
"SNAR-C5","100170223",120
"SNAR-B1","100170224",120
"SNAR-C1","100170225",120
"SNAR-C3","100170226",119
"SNAR-D","100170227",119
"SNAR-G2","100170228",119
"SRRM5","100170229",2398
"C19orf69","100170765",946
"C17orf96","100170841",3232
"LOC100170939","100170939",1016
"BCL2L11","10018",6212
"MIR1224","100187716",85
"MIR1225","100188847",90
"TOMM6","100188893",854
"ESP33","100188917",1247
"LOC100188947","100188947",915
"LINC00426","100188949",1589
"LINC00092","100188953",1721
"DNMBP-AS1","100188954",2651
"LOC100189589","100189589",2144
"SH2B3","10019",5406
"LOC100190938","100190938",3272
"TPT1-AS1","100190939",1526
"LOC100190940","100190940",3528
"C5orf52","100190949",697
"LOC100190986","100190986",2453
"C2CD4D","100191040",1713
"SNAR-A14","100191063",121
"LOC100192204","100192204",626
"LOC100192378","100192378",1710
"PP12613","100192379",2224
"FLJ16779","100192386",7638
"FLJ41941","100192420",2379
"LOC100192426","100192426",616
"CDH4","1002",6735
"GNE","10020",5477
"HCN4","10021",7228
"LOC100216001","100216001",1394
"LOC100216479","100216479",2858
"LOC100216545","100216545",3600
"LOC100216546","100216546",9419
"INSL5","10022",718
"FRAT1","10023",2651
"LOC100233156","100233156",1620
"LOC100233209","100233209",2502
"TROAP","10024",2852
"LOC100240734","100240734",491
"LOC100240735","100240735",905
"MED16","10025",2924
"PIGK","10026",4626
"LOC100268168","100268168",1998
"LOC100270679","100270679",677
"","100270710",704
"LOC100270746","100270746",941
"LOC100270804","100270804",2017
"LOC100271702","100271702",2352
"ARHGEF33","100271715",4304
"LOC100271722","100271722",1610
"","100271831",411
"LOC100271832","100271832",1392
"LIMS3-LOC440895","100271835",3219
"LOC100271836","100271836",5052
"ERVV-2","100271846",2482
"MEF2B","100271849",1451
"AIRN","100271873",4374
"ZNRF2P2","100271874",1050
"RASA4B","100271927",3106
"MTCP1NB","100272147",1017
"","100272148",2054
"LOC100272216","100272216",2049
"LOC100272217","100272217",2145
"LOC100272228","100272228",3182
"LOC100286793","100286793",1195
"LOC100286844","100286844",3088
"LOC100286914","100286914",472
"LOC100286922","100286922",1030
"LOC100286925","100286925",3710
"LOC100286938","100286938",442
"LOC100286969","100286969",696
"LOC100286979","100286979",1771
"LOC100286988","100286988",679
"LOC100287010","100287010",1092
"LOC100287015","100287015",2408
"DDX11L10","100287029",1652
"LOC100287036","100287036",1205
"LOC100287042","100287042",2597
"FAM90A26P","100287045",1395
"LOC100287049","100287049",451
"LOC100287063","100287063",1580
"LOC100287082","100287082",812
"DEFT1P2","100287083",496
"DDX11L1","100287102",1652
"LOC100287110","100287110",420
"LINC00421","100287114",1054
"LOC100287119","100287119",2590
"LOC100287144","100287144",1593
"LOC100287160","100287160",863
"LOC100287163","100287163",3333
"LOC100287166","100287166",696
"WASH1","100287171",1837
"LOC100287175","100287175",727
"LOC100287177","100287177",930
"LOC100287178","100287178",1593
"LOC100287188","100287188",555
"LOC100287195","100287195",535
